"";"AMT_INCOME_TOTAL";"AMT_CREDIT";"AMT_ANNUITY";"DAYS_BIRTH";"OWN_CAR_AGE";"AMT_GOODS_PRICE";"CNT_FAM_MEMBERS";"CODE_GENDER";"NAME_INCOME_TYPE";"NAME_EDUCATION_TYPE";"NAME_FAMILY_STATUS";"OCCUPATION_TYPE";"ORGANIZATION_TYPE";"REGION_RATING_CLIENT";"TARGET"
"138436";121500;265851;18112,5;-13841;NA;229500;3;"F";"Pensioner";"Higher education";"Married";"";"XNA";"3";"0"
"197440";126000;270000;14647,5;-10826;NA;270000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"Sales staff";"Business Entity Type 3";"2";"0"
"97240";112500;1078200;38200,5;-19177;7;9e+05;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Laborers";"Housing";"2";"0"
"251788";90000;168102;16506;-23842;NA;148500;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"247740";117000;79632;6291;-10429;NA;63000;3;"F";"Working";"Secondary / secondary special";"Married";"Core staff";"Kindergarten";"3";"0"
"274488";90000;9e+05;26316;-16224;NA;9e+05;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"High skill tech staff";"Other";"2";"0"
"178794";112500;180000;9895,5;-21807;3;180000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"177964";157500;542133;27670,5;-13208;17;468000;3;"M";"Working";"Higher education";"Married";"High skill tech staff";"Business Entity Type 3";"2";"0"
"186425";202500;719946;33489;-10698;14;643500;2;"M";"Working";"Secondary / secondary special";"Married";"Managers";"Business Entity Type 3";"2";"0"
"6930";135000;1305000;38155,5;-18350;8;1305000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"Managers";"Self-employed";"2";"0"
"150608";292500;450000;23107,5;-10273;5;450000;3;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Self-employed";"2";"0"
"32943";112500;629325;26793;-22480;17;562500;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"3";"0"
"41058";135000;409653;20052;-19197;NA;288000;2;"M";"Commercial associate";"Higher education";"Married";"Managers";"Self-employed";"1";"0"
"206230";112500;675000;34596;-10395;23;675000;3;"F";"Working";"Higher education";"Civil marriage";"";"Business Entity Type 3";"2";"0"
"63699";135000;225000;11250;-19924;NA;225000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Cleaning staff";"Industry: type 7";"3";"0"
"249444";135000;760131;22356;-22898;NA;634500;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"205451";207000;545040;20677,5;-14347;NA;450000;3;"F";"Working";"Secondary / secondary special";"Separated";"Medicine staff";"Medicine";"2";"0"
"98433";675000;1325475;56290,5;-17592;NA;1125000;2;"F";"Commercial associate";"Higher education";"Married";"";"Business Entity Type 3";"1";"0"
