"";"AMT_INCOME_TOTAL";"AMT_CREDIT";"AMT_ANNUITY";"DAYS_BIRTH";"OWN_CAR_AGE";"AMT_GOODS_PRICE";"CNT_FAM_MEMBERS";"CODE_GENDER";"NAME_INCOME_TYPE";"NAME_EDUCATION_TYPE";"NAME_FAMILY_STATUS";"OCCUPATION_TYPE";"ORGANIZATION_TYPE";"REGION_RATING_CLIENT";"TARGET"
"127804";101250;296280;19062;-23823;NA;225000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"278849";270000;1125000;33025,5;-15866;NA;1125000;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"284209";157500;1125000;32895;-17154;14;1125000;2;"F";"Commercial associate";"Higher education";"Civil marriage";NA;"Housing";"2";"0"
"218453";121500;878733;25821;-22400;NA;733500;2;"F";"Pensioner";"Higher education";"Married";NA;"XNA";"2";"0"
"172964";90000;531706,5;28458;-16459;NA;459000;3;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"114300";180000;700830;22738,5;-17609;1;585000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Managers";"Business Entity Type 3";"2";"0"
"5577";225000;1762110;46611;-18657;NA;1575000;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Business Entity Type 3";"2";"0"
"73901";90000;180000;9000;-13443;NA;180000;4;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"246091";162000;1035000;30262,5;-21191;NA;1035000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"1";"0"
"233518";202500;967378,5;64908;-15786;21;927000;2;"F";"Working";"Secondary / secondary special";"Married";"Core staff";"Kindergarten";"3";"0"
"301881";180000;405000;40054,5;-13713;3;405000;3;"F";"Working";"Higher education";"Married";"Core staff";"School";"2";"0"
"231538";450000;454455;17262;-16462;10;319500;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"2";"0"
"197276";54000;166500;16348,5;-24895;64;166500;2;"M";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"50745";157500;528633;28804,5;-16177;NA;472500;2;"M";"Working";"Higher education";"Married";"Laborers";"Business Entity Type 3";"3";"0"
"136364";126000;227520;11196;-11540;2;180000;3;"F";"Working";"Secondary / secondary special";"Married";"Accountants";"Business Entity Type 3";"2";"0"
"286088";161550;239850;22324,5;-16938;21;225000;2;"M";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"75575";135000;1006920;42660;-12269;NA;9e+05;2;"F";"State servant";"Secondary / secondary special";"Married";"Medicine staff";"Medicine";"2";"0"
"91535";270000;942300;36643,5;-14815;1;675000;2;"M";"Working";"Secondary / secondary special";"Married";NA;"Business Entity Type 3";"1";"0"
"99062";99000;189621;13927,5;-15573;17;144000;3;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Industry: type 11";"3";"1"
"50545";81000;157500;7875;-22184;NA;157500;2;"F";"Working";"Secondary / secondary special";"Married";"Security staff";"Self-employed";"1";"0"
"205643";135000;787131;26145;-16178;NA;679500;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"Managers";"Self-employed";"3";"0"
"126240";54000;284400;13387,5;-16651;NA;225000;3;"F";"Commercial associate";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"283066";9e+05;2695500;71235;-23392;6;2250000;2;"M";"State servant";"Higher education";"Married";"Core staff";"School";"1";"0"
"70158";112500;485640;38938,5;-13100;NA;450000;2;"F";"Working";"Lower secondary";"Married";"Cooking staff";"Business Entity Type 3";"2";"1"
"24476";157500;728460;41949;-22295;19;675000;2;"M";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"3";"0"
"141217";72000;135000;6750;-13071;NA;135000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Sales staff";"Business Entity Type 3";"2";"0"
"194810";292500;276277,5;25470;-11686;0;238500;2;"M";"Working";"Secondary / secondary special";"Married";"Cooking staff";"Business Entity Type 3";"3";"1"
"224225";112500;512064;19431;-19685;NA;360000;2;"F";"State servant";"Secondary / secondary special";"Civil marriage";"High skill tech staff";"Government";"2";"0"
"297914";67500;47970;4873,5;-23651;NA;45000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"292244";135000;679500;19867,5;-9752;NA;679500;1;"F";"Working";"Higher education";"Single / not married";"Sales staff";"Business Entity Type 3";"2";"0"
"171748";225000;675000;33750;-15679;NA;675000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Laborers";"Self-employed";"2";"0"
